date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:13	9839/9839	---M--	200	added ('OK')	text/html	etag:%22266f-5e7c9020cb668%22	https://www.realmrp.it/	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/index.html	(from )
15:06:13	301/301	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:06:22%20GMT	https://www.realmrp.it/robots.txt		(from )
15:06:14	125512/125512	---M--	200	added ('OK')	image/png	etag:%221ea48-5dc391b2c37d8%22	https://www.realmrp.it/assets/img/icon1.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/img/icon1.png	(from https://www.realmrp.it/)
15:06:14	153111/153111	---M-Z	200	added ('OK')	text/css	etag:W/%2225617-q3SIoVyTmtfFSq15BDC3uaLXfq4%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/css/bootstrap.min.css	C:/Mie%20pagine%20Web/Realm/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/css/bootstrap.min.css	(from https://www.realmrp.it/)
15:06:14	80821/80821	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213bb5-zUKjci8NkL/tAMsum+NysHqoVi8%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/js/bootstrap.bundle.min.js	C:/Mie%20pagine%20Web/Realm/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/js/bootstrap.bundle.min.js	(from https://www.realmrp.it/)
15:06:14	18362/18362	---M-Z	200	added ('OK')	application/javascript	etag:W/%2247ba-iedqcPSKLctTWaW2pXutv3fMUjk%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.5.4/dist/umd/popper.min.js	C:/Mie%20pagine%20Web/Realm/cdn.jsdelivr.net/npm/@popperjs/core@2.5.4/dist/umd/popper.min.js	(from https://www.realmrp.it/)
15:06:14	62411/62411	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f3cb-yjKdCGaCpNdbVSjTJqZqbT//qxM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/js/bootstrap.min.js	C:/Mie%20pagine%20Web/Realm/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/js/bootstrap.min.js	(from https://www.realmrp.it/)
15:06:15	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:56%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/Mie%20pagine%20Web/Realm/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://www.realmrp.it/)
15:06:15	405578/405578	---M--	200	added ('OK')	text/css	etag:%226304a-5e105f391dacf%22	https://www.realmrp.it/assets/css/material-kit.css?v=2.0.7	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/css/material-kitb68f.css	(from https://www.realmrp.it/)
15:06:15	1869/1869	---M--	200	added ('OK')	text/css	etag:%2274d-5e7c8f9a00137%22	https://www.realmrp.it/assets/css/style.css	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/css/style.css	(from https://www.realmrp.it/)
15:06:15	14424/14424	---M--	200	added ('OK')	text/css	etag:%223858-5e103ecc75c0f%22	https://www.realmrp.it/assets/demo/demo.css	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/demo/demo.css	(from https://www.realmrp.it/)
15:06:16	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2005%20Sep%202022%2013:06:16%20GMT	https://kit.fontawesome.com/3c1d965d33.js	C:/Mie%20pagine%20Web/Realm/kit.fontawesome.com/3c1d965d33.js	(from https://www.realmrp.it/)
15:06:16	128770/128770	---M--	200	added ('OK')	image/png	etag:%221f702-5e10448f7dce5%22	https://www.realmrp.it/assets/img/profile_city.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/img/profile_city.png	(from https://www.realmrp.it/)
15:06:16	337814/337814	---M--	200	added ('OK')	image/png	etag:%2252796-5e10548c3c670%22	https://www.realmrp.it/assets/img/text2.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/img/text2.png	(from https://www.realmrp.it/)
15:06:16	2013750/2013750	---M--	200	added ('OK')	image/png	etag:%221eba36-5e1048bc37b57%22	https://www.realmrp.it/assets/img/insta.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/img/insta.png	(from https://www.realmrp.it/)
15:06:17	275159/275159	---M--	200	added ('OK')	image/png	etag:%22432d7-5e1053376b2dc%22	https://www.realmrp.it/assets/img/text1.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/img/text1.png	(from https://www.realmrp.it/)
15:06:17	3076737/3076737	---M--	200	added ('OK')	image/png	etag:%222ef281-5e104bbd9f4fb%22	https://www.realmrp.it/assets/img/ds.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/img/ds.png	(from https://www.realmrp.it/)
15:06:17	66549/66549	---M--	200	added ('OK')	text/html	etag:%22103f5-5e7a24eced824%22	https://www.realmrp.it/regolamento/	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/regolamento/index.html	(from https://www.realmrp.it/)
15:06:17	16014/16014	---M--	200	added ('OK')	text/html	etag:%223e8e-5e5680942a8a9%22	https://www.realmrp.it/me/	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/me/index.html	(from https://www.realmrp.it/)
15:06:17	56242/56242	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Aug%202022%2012:07:56%20GMT	https://media.discordapp.net/attachments/746667896595283988/1014144439091994685/Logo_white_1.png	C:/Mie%20pagine%20Web/Realm/media.discordapp.net/attachments/746667896595283988/1014144439091994685/Logo_white_1.png	(from https://www.realmrp.it/)
15:06:17	10195/10195	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Sep%202022%2017:08:56%20GMT	https://media.discordapp.net/attachments/746667896595283988/1015669742876504174/logo_scritta.png	C:/Mie%20pagine%20Web/Realm/media.discordapp.net/attachments/746667896595283988/1015669742876504174/logo_scritta.png	(from https://www.realmrp.it/)
15:06:17	145741/145741	---M--	200	added ('OK')	application/javascript	etag:%222394d-5b5dd0e11ca00%22	https://www.realmrp.it/assets/js/core/jquery.min.js	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/js/core/jquery.min.js	(from https://www.realmrp.it/)
15:06:18	33477/33477	---M--	200	added ('OK')	application/javascript	etag:%2282c5-5b5dd0e11ca00%22	https://www.realmrp.it/assets/js/core/popper.min.js	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/js/core/popper.min.js	(from https://www.realmrp.it/)
15:06:18	10174/10174	---M--	200	added ('OK')	text/html	etag:%2227be-5e5680896fb6f%22	https://www.realmrp.it/tos/	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/tos/index.html	(from https://www.realmrp.it/)
15:06:18	76652/76652	---M--	200	added ('OK')	application/javascript	etag:%2212b6c-5b5dd0e11ca00%22	https://www.realmrp.it/assets/js/core/bootstrap-material-design.min.js	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/js/core/bootstrap-material-design.min.js	(from https://www.realmrp.it/)
15:06:18	81780/81780	---M--	200	added ('OK')	application/javascript	etag:%2213f74-5b5dd0e11ca00%22	https://www.realmrp.it/assets/js/plugins/moment.min.js	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/js/plugins/moment.min.js	(from https://www.realmrp.it/)
15:06:18	53379/53379	---M--	200	added ('OK')	application/javascript	etag:%22d083-5b5dd0e11ca00%22	https://www.realmrp.it/assets/js/plugins/bootstrap-datetimepicker.js	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/js/plugins/bootstrap-datetimepicker.js	(from https://www.realmrp.it/)
15:06:18	23883/23883	---M--	200	added ('OK')	application/javascript	etag:%225d4b-5b5dd0e11ca00%22	https://www.realmrp.it/assets/js/plugins/nouislider.min.js	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/js/plugins/nouislider.min.js	(from https://www.realmrp.it/)
15:06:19	7521/7521	---M--	200	added ('OK')	application/javascript	etag:%221d61-5b5dd0e11ca00%22	https://www.realmrp.it/assets/js/material-kit.js?v=2.0.7	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/js/material-kitb68f.js	(from https://www.realmrp.it/)
15:06:19	8905/8905	---M--	200	added ('OK')	text/html	etag:%2222c9-5e5680c9eb48b%22	https://www.realmrp.it/contatti/	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/contatti/index.html	(from https://www.realmrp.it/)
15:06:19	301/301	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:06:28%20GMT	https://www.realmrp.it/img/arrow-left.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/img/arrow-left.png	(from https://www.realmrp.it/assets/css/material-kit.css?v=2.0.7)
15:06:19	301/301	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:06:29%20GMT	https://www.realmrp.it/img/arrow-left.cur	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/img/arrow-left.cur	(from https://www.realmrp.it/assets/css/material-kit.css?v=2.0.7)
15:06:19	301/301	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:06:29%20GMT	https://www.realmrp.it/img/arrow-right.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/img/arrow-right.png	(from https://www.realmrp.it/assets/css/material-kit.css?v=2.0.7)
15:06:20	301/301	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:06:29%20GMT	https://www.realmrp.it/img/arrow-right.cur	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/img/arrow-right.cur	(from https://www.realmrp.it/assets/css/material-kit.css?v=2.0.7)
15:06:20	130381/130381	---M--	200	added ('OK')	image/png	etag:%221fd4d-5e10662d5a994%22	https://www.realmrp.it/assets/img/bg_home.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/img/bg_home.png	(from https://www.realmrp.it/assets/css/style.css)
15:06:20	301/301	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:06:30%20GMT	https://www.realmrp.it/assets/img/apple-icon1.png	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/img/apple-icon1.png	(from https://www.realmrp.it/regolamento/)
15:06:21	405578/405578	---M--	200	added ('OK')	text/css	etag:%226304a-5e105f391dacf%22	https://www.realmrp.it/assets/css/material-kit.css	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/css/material-kit.css	(from https://www.realmrp.it/regolamento/)
15:06:21	2316899/2316899	---M--	200	added ('OK')	image/gif	etag:%22235a63-5dc392e0ac479%22	https://www.realmrp.it/assets/img/gif1.gif	C:/Mie%20pagine%20Web/Realm/www.realmrp.it/assets/img/gif1.gif	(from https://www.realmrp.it/regolamento/)
15:06:21	223/223	---MCZ	403	error ('Forbidden')	application/xml	date:Mon,%2005%20Sep%202022%2013:06:21%20GMT	https://cdn.discordapp.com/attachments/916489198033317888/916492610523238460/unknown.png	C:/Mie%20pagine%20Web/Realm/cdn.discordapp.com/attachments/916489198033317888/916492610523238460/unknown.20.delayed	(from https://www.realmrp.it/regolamento/)
15:06:21	223/223	---MCZ	403	error ('Forbidden')	application/xml	date:Mon,%2005%20Sep%202022%2013:06:22%20GMT	https://cdn.discordapp.com/attachments/916489198033317888/916492333233614898/unknown.png	C:/Mie%20pagine%20Web/Realm/cdn.discordapp.com/attachments/916489198033317888/916492333233614898/unknown.png	(from https://www.realmrp.it/regolamento/)
15:06:22	223/223	---MCZ	403	error ('Forbidden')	application/xml	date:Mon,%2005%20Sep%202022%2013:06:22%20GMT	https://cdn.discordapp.com/attachments/916489198033317888/916489230128152586/unknown.png	C:/Mie%20pagine%20Web/Realm/cdn.discordapp.com/attachments/916489198033317888/916489230128152586/unknown.png	(from https://www.realmrp.it/regolamento/)
15:06:22	586137/586137	---M--	200	added ('OK')	image/png	etag:%22a0623167eeb949c65e6f5fee79e63850%22	https://cdn.discordapp.com/attachments/999912022311444540/999994733512372325/lallal.png	C:/Mie%20pagine%20Web/Realm/cdn.discordapp.com/attachments/999912022311444540/999994733512372325/lallal.png	(from https://www.realmrp.it/regolamento/)
15:06:23	531664/531664	---M--	200	added ('OK')	image/png	etag:%22098c22a84f4b597bd50a0af5f9bbd336%22	https://cdn.discordapp.com/attachments/999912022311444540/999994742232326214/southside.png	C:/Mie%20pagine%20Web/Realm/cdn.discordapp.com/attachments/999912022311444540/999994742232326214/southside.png	(from https://www.realmrp.it/regolamento/)
